Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-12-31,1861.87,0.0,1861.87,971.4,190.31,-114.23,91.83,46.79,344.36,331.41,15.19,346.6,6.24,340.36,0.0,340.36,86.79,253.57,253.57,97.13,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2021-03-31,1797.04,0.0,1797.04,1149.66,73.88,-213.12,90.85,47.64,393.09,255.04,21.28,276.32,9.19,267.13,-14.8,252.33,67.64,184.69,184.69,97.13,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2021-06-30,1619.21,0.0,1619.21,878.01,143.65,-15.99,98.53,47.46,294.22,173.33,16.01,189.34,7.91,181.43,0.0,181.43,46.34,135.09,135.09,97.13,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2021-09-30,1937.65,0.0,1937.65,1121.42,180.46,-95.41,105.39,48.92,321.84,255.03,14.16,269.19,10.96,258.23,0.0,258.23,66.44,191.79,191.79,97.13,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2021-12-31,2256.24,0.0,2256.24,1251.04,187.62,5.03,98.34,49.39,370.58,294.24,13.98,308.22,12.32,295.9,0.0,295.9,75.61,220.29,220.29,97.13,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2022-03-31,1927.83,0.0,1927.83,1253.83,179.67,-243.24,98.32,51.76,325.09,262.4,18.97,281.37,11.74,269.63,0.0,269.63,66.94,202.69,202.69,97.13,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2022-06-30,2488.67,0.0,2488.67,1472.47,258.43,-120.58,110.79,55.57,393.84,318.15,10.62,328.77,13.99,314.78,0.0,314.78,80.38,234.4,234.4,97.13,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2022-09-30,2373.75,0.0,2373.75,1434.02,223.28,-102.71,120.45,55.0,380.42,263.29,14.22,277.51,20.8,256.71,0.0,256.71,66.03,190.68,190.68,97.13,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2022-12-31,2418.91,0.0,2418.91,1162.75,236.15,202.01,111.48,56.85,395.22,254.45,39.51,293.96,25.59,268.37,0.0,268.37,61.27,207.1,207.1,97.13,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2023-03-31,2189.29,0.0,2189.29,1201.63,193.04,-73.37,115.4,66.58,410.05,275.96,12.8,288.76,25.9,262.86,0.0,262.86,66.65,196.21,196.21,97.14,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2023-06-30,2739.76,0.0,2739.76,1339.44,227.5,94.33,126.24,69.85,438.42,443.98,11.73,455.71,16.71,439.0,0.0,439.0,112.68,326.32,326.32,97.14,3.36,3.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,2439.83,0.0,2439.83,1331.41,213.38,-81.96,145.3,74.74,428.58,328.38,15.87,344.25,17.19,327.06,0.0,327.06,83.17,243.89,243.89,116.57,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2023-12-31,2574.2,0.0,2574.2,1152.04,213.83,169.68,136.72,74.49,472.35,355.09,16.4,371.49,16.1,355.39,0.0,355.39,92.14,263.25,263.25,116.57,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2024-03-31,2249.14,0.0,2249.14,1196.66,215.61,-68.61,129.01,77.91,451.33,247.23,13.44,260.67,14.66,246.01,0.0,246.01,64.42,181.59,181.59,116.58,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2024-06-30,2806.31,0.0,2806.31,1430.1,256.83,17.96,145.51,78.3,472.21,405.4,16.82,422.22,11.58,410.64,0.0,410.64,105.12,305.52,305.52,116.58,2.62,2.62,0.0,0.0,0.0,0.0,0.0
2024-09-30,2430.7,0.0,2430.7,1338.08,243.94,-133.54,165.83,79.83,432.95,303.61,16.9,320.51,12.81,307.7,0.0,307.7,78.72,228.98,228.98,116.58,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2024-12-31,2584.76,0.0,2584.76,1235.8,241.16,78.3,146.4,79.78,465.61,337.71,69.04,406.75,12.24,394.51,0.0,394.51,88.43,306.08,306.08,116.58,2.63,2.62,0.0,0.0,0.0,0.0,0.0
2025-03-31,2347.45,0.0,2347.45,1248.81,231.49,-100.34,147.76,79.84,430.22,309.67,19.45,329.12,11.23,317.89,0.0,317.89,80.97,236.92,236.92,116.59,2.03,2.03,0.0,0.0,0.0,0.0,0.0
