Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-12-31,10746.37,0.0,10746.37,0.0,611.76,3304.1,755.14,6075.37,726.09,6801.46,3036.7,3764.76,233.9,3998.66,296.94,3701.72,0.0,0.0,3701.72,6975.45,0.0,5.31,4.97,0.0,0.0,0.0,0.0,0.0
2023-03-31,11494.9,0.0,11494.9,0.0,674.15,3213.89,686.29,6920.57,793.41,7713.98,2519.99,5193.99,-23.41,5170.58,956.18,4214.4,0.0,0.0,4214.4,6975.45,75857.51,6.04,6.07,0.0,0.0,0.0,0.0,0.0
2023-06-30,10436.11,0.0,10436.11,0.0,599.24,3161.34,737.34,5938.19,646.09,6584.28,2129.13,4455.15,-344.03,4111.12,568.47,3542.65,0.0,0.0,3542.65,6975.45,79344.04,5.08,5.08,0.0,0.0,0.0,0.0,0.0
2023-09-30,10419.41,0.0,10419.41,0.0,554.73,3141.78,657.45,6065.45,786.4,6851.85,2389.13,4462.72,-158.36,4304.36,509.46,3794.9,0.0,39.06,3833.96,9300.6,0.0,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,10676.59,0.0,10676.59,0.0,606.64,3158.59,669.36,6242.0,791.02,7033.02,2515.55,4517.47,112.29,4629.76,659.53,3970.23,0.0,0.0,3970.23,9300.6,0.0,4.27,4.15,0.0,0.0,0.0,0.0,0.0
2024-03-31,11050.54,0.0,11050.54,0.0,642.04,3116.4,1266.29,6025.81,1203.18,7228.99,2020.78,5208.21,-174.41,5033.8,906.03,4127.77,0.0,0.0,4127.77,9300.6,0.0,4.44,4.63,0.0,0.0,0.0,0.0,0.0
2024-06-30,10068.16,0.0,10068.16,0.0,615.62,3073.21,708.45,5670.88,782.21,6453.09,2160.14,4292.95,-61.02,4231.93,819.78,3412.15,0.0,0.0,3412.15,9300.6,0.0,3.67,3.73,0.0,0.0,0.0,0.0,0.0
2024-09-30,10260.06,0.0,10260.06,0.0,618.73,3161.68,854.3,5625.35,1123.28,6748.63,2604.55,4144.08,246.86,4390.94,679.78,3711.16,0.0,0.0,3711.16,9300.6,0.0,3.99,3.99,0.0,0.0,0.0,0.0,0.0
2024-12-31,10120.72,0.0,10120.72,0.0,594.41,3074.18,1003.6,5448.53,1488.5,6937.03,2127.12,4809.91,44.14,4854.05,959.96,3894.09,0.0,0.0,3894.09,9300.6,0.0,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2025-03-31,10982.55,0.0,10982.55,0.0,764.24,3043.16,995.61,6179.54,1499.84,7679.38,2587.51,5091.87,50.64,5142.51,806.34,4336.17,0.0,0.0,4336.17,9300.6,0.0,4.66,4.61,0.0,0.0,0.0,0.0,0.0
