Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,704.59,0.0,704.59,0.0,104.41,11.07,519.7,69.41,5.79,75.2,6.11,69.09,0.0,69.09,23.6,45.49,45.49,23.73,19.17,19.17,0.0,0.0,0.0,0.0,0.0
2018-03-31,716.77,0.0,716.77,0.0,114.78,11.06,545.24,45.69,5.27,50.96,3.87,47.09,0.0,47.09,12.96,34.13,34.13,23.73,14.39,14.39,0.0,0.0,0.0,0.0,0.0
2018-06-30,732.78,0.0,732.78,0.0,131.7,11.24,556.54,33.3,4.54,37.84,3.91,33.93,0.0,33.93,11.85,22.08,22.08,23.73,9.3,9.3,0.0,0.0,0.0,0.0,0.0
2018-09-30,797.91,0.0,797.91,0.0,139.12,11.07,618.57,29.15,4.65,33.8,3.95,29.85,0.0,29.85,8.54,21.31,21.31,23.73,8.99,8.99,0.0,0.0,0.0,0.0,0.0
2018-12-31,855.45,0.0,855.45,0.0,148.24,12.51,647.15,47.55,4.36,51.91,4.23,47.68,0.0,47.68,16.33,31.35,31.35,23.73,13.21,13.21,0.0,0.0,0.0,0.0,0.0
2019-03-31,779.32,0.0,779.32,0.0,131.03,13.14,619.66,15.49,4.66,20.15,3.26,16.89,0.0,16.89,4.03,12.86,12.86,23.73,9.42,9.42,0.0,0.0,0.0,0.0,0.0
2019-06-30,786.55,0.0,786.55,0.0,146.4,33.75,595.6,10.8,4.34,15.14,8.28,6.86,0.0,6.86,2.27,4.59,4.59,23.73,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2019-09-30,800.07,0.0,800.07,0.0,146.71,37.07,592.68,23.61,3.8,27.41,8.37,19.04,0.0,19.04,5.05,13.99,13.99,23.73,5.9,5.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,855.64,0.0,855.64,0.0,146.73,38.31,641.98,28.62,3.36,31.98,7.64,24.34,-64.11,-39.77,-6.69,-33.08,-33.08,23.73,-13.94,-13.94,0.0,0.0,0.0,0.0,0.0
2020-03-31,724.13,0.0,724.13,0.0,134.16,43.67,574.29,-27.99,2.51,-25.48,7.85,-33.33,0.0,-33.33,-9.54,-23.79,-23.79,23.73,-10.03,-10.03,0.0,0.0,0.0,0.0,0.0
2020-06-30,414.19,0.0,414.19,0.0,136.09,42.76,396.31,-160.97,2.21,-158.76,7.48,-166.24,0.0,-166.24,-38.3,-127.94,-127.94,23.73,-53.92,-53.92,0.0,0.0,0.0,0.0,0.0
2020-09-30,864.42,0.0,864.42,0.0,138.46,50.87,578.43,96.66,1.93,98.59,8.8,89.79,-34.17,55.62,14.23,41.39,41.39,23.73,17.44,17.44,0.0,0.0,0.0,0.0,0.0
2020-12-31,1034.92,0.0,1034.92,0.0,157.94,54.74,703.6,118.64,2.35,120.99,7.69,113.3,8.32,121.62,27.84,93.78,93.78,23.73,39.52,39.52,0.0,0.0,0.0,0.0,0.0
2021-03-31,966.17,0.0,966.17,0.0,134.34,52.3,657.9,121.63,6.17,127.8,7.75,120.05,0.0,120.05,30.97,89.08,89.08,23.73,37.54,37.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,864.79,0.0,864.79,0.0,149.07,42.97,632.31,40.44,5.77,46.21,6.84,39.37,0.0,39.37,10.0,29.37,29.37,23.73,12.38,12.38,0.0,0.0,0.0,0.0,0.0
2021-09-30,1123.57,0.0,1123.57,696.05,152.79,43.28,76.16,155.29,6.38,161.67,5.9,155.77,-35.95,119.82,30.34,89.48,89.48,23.73,37.71,37.71,0.0,0.0,0.0,0.0,0.0
2021-12-31,1254.75,0.0,1254.75,795.5,161.48,43.03,93.89,160.85,7.8,168.65,5.44,163.21,0.0,163.21,41.03,122.18,122.18,23.73,51.49,51.59,0.0,0.0,0.0,0.0,0.0
2022-03-31,1165.91,0.0,1165.91,740.01,126.32,39.38,81.67,178.53,8.52,187.05,5.92,181.13,0.0,181.13,45.72,135.41,135.41,23.73,57.07,57.07,0.0,0.0,0.0,0.0,0.0
2022-06-30,1293.31,0.0,1293.31,0.0,167.93,39.72,934.62,151.04,10.23,161.27,4.69,156.58,0.0,156.58,39.41,117.17,117.17,23.73,49.38,49.38,0.0,0.0,0.0,0.0,0.0
2022-09-30,1325.28,0.0,1325.28,0.0,164.07,41.93,998.47,120.81,12.11,132.92,4.16,128.76,0.0,128.76,36.75,92.01,92.01,23.73,38.78,38.78,0.0,0.0,0.0,0.0,0.0
2022-12-31,1337.08,0.0,1337.08,0.0,157.91,41.44,1028.58,109.15,13.94,123.09,4.15,118.94,0.0,118.94,32.01,86.93,86.93,23.73,36.64,36.64,0.0,0.0,0.0,0.0,0.0
2023-03-31,1216.55,0.0,1216.55,0.0,159.61,43.55,928.77,84.62,14.26,98.88,4.42,94.46,0.0,94.46,24.13,70.33,70.33,23.73,29.63,29.63,0.0,0.0,0.0,0.0,0.0
2023-06-30,1237.55,0.0,1237.55,0.0,175.58,44.41,948.65,68.91,15.74,84.65,4.53,80.12,0.0,80.12,20.38,59.74,59.74,23.73,25.18,25.18,0.0,0.0,0.0,0.0,0.0
2023-09-30,1324.48,0.0,1324.48,916.18,177.65,45.58,100.17,84.9,15.1,100.0,4.75,95.25,0.0,95.25,23.96,71.29,71.29,23.73,30.04,30.04,0.0,0.0,0.0,0.0,0.0
2023-12-31,1382.93,0.0,1382.93,957.33,181.0,47.26,110.31,87.03,22.75,109.78,4.74,105.04,0.0,105.04,23.48,81.56,81.56,23.73,34.37,34.37,0.0,0.0,0.0,0.0,0.0
2024-03-31,1322.87,0.0,1322.87,0.0,173.58,50.0,1009.91,89.38,18.25,107.63,5.25,102.38,0.0,102.38,26.33,76.05,76.05,23.73,32.06,32.06,0.0,0.0,0.0,0.0,0.0
2024-06-30,1342.71,0.0,1342.71,0.0,185.89,52.29,1047.39,57.14,19.12,76.26,6.95,69.31,0.0,69.31,17.78,51.53,51.53,23.73,21.72,21.72,0.0,0.0,0.0,0.0,0.0
2024-09-30,1448.46,0.0,1448.46,1027.8,188.07,51.92,110.71,69.96,19.03,88.99,7.04,81.95,0.0,81.95,21.19,60.76,60.76,23.73,25.6,25.6,0.0,0.0,0.0,0.0,0.0
2024-12-31,1511.69,0.0,1511.69,1061.19,181.69,52.15,122.61,94.05,19.58,113.63,7.26,106.37,0.0,106.37,27.25,79.12,79.12,23.73,33.35,33.35,0.0,0.0,0.0,0.0,0.0
