Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,569.75,5.1,574.85,140.02,113.84,-2.01,67.0,23.73,27.23,0.0,131.27,73.77,10.35,84.12,0.21,83.91,0.0,83.91,27.17,56.74,0.0,56.74,10.4,10.91,10.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,623.65,6.15,629.8,164.91,111.86,-0.49,63.54,24.89,28.66,0.0,143.94,92.49,16.06,108.55,0.06,108.49,0.0,108.49,38.11,70.38,0.0,70.38,10.4,13.54,13.54,0.0,0.0,0.0,0.0,0.0
2018-12-31,650.27,9.36,659.63,170.69,115.98,4.24,65.05,23.53,29.39,0.0,158.7,92.05,23.86,115.91,0.19,115.72,0.0,115.72,37.26,78.46,0.0,78.46,10.4,15.09,15.09,0.0,0.0,0.0,0.0,0.0
2019-03-31,605.76,7.0,612.76,179.09,88.57,-16.23,56.01,23.77,60.27,15.08,180.01,26.19,28.73,54.92,0.4,54.52,0.0,54.52,19.13,35.39,0.0,35.39,10.4,6.81,6.81,0.0,0.0,0.0,0.0,0.0
2019-06-30,825.76,5.42,831.18,188.23,182.28,-7.3,58.31,34.79,0.0,0.0,211.98,162.89,17.1,179.99,7.35,172.64,0.0,172.64,57.76,114.88,0.0,114.88,10.4,22.09,22.09,0.0,0.0,0.0,0.0,0.0
2019-09-30,706.18,6.68,712.86,172.98,130.06,4.58,70.86,34.8,37.32,0.0,154.07,108.19,31.13,139.32,7.81,131.51,0.0,131.51,16.2,115.31,0.0,115.31,10.4,22.18,22.18,0.0,0.0,0.0,0.0,0.0
2019-12-31,743.98,8.21,752.19,177.53,142.38,14.67,65.37,35.94,38.67,0.0,152.15,125.48,27.76,153.24,7.66,145.58,0.0,145.58,36.15,109.43,0.0,109.43,10.4,21.05,21.05,0.0,0.0,0.0,0.0,0.0
2020-03-31,585.4,5.53,590.93,158.8,115.59,-26.97,55.47,46.85,39.43,0.0,158.62,43.14,30.34,73.48,7.31,66.17,0.0,66.17,17.91,48.26,0.0,48.26,10.4,9.28,9.28,0.0,0.0,0.0,0.0,0.0
2020-06-30,455.88,0.0,455.88,46.12,127.11,30.13,52.49,33.46,0.0,0.0,141.93,24.64,40.9,65.54,7.29,58.25,0.0,58.25,6.48,51.77,0.0,51.77,10.4,9.96,9.96,0.0,0.0,0.0,0.0,0.0
2020-09-30,687.66,3.48,691.14,149.45,272.45,-67.11,61.13,33.4,16.96,0.0,113.62,111.24,23.77,135.01,7.06,127.95,0.0,127.95,32.37,95.58,0.0,95.58,10.4,18.38,18.38,0.0,0.0,0.0,0.0,0.0
2020-12-31,687.76,4.63,692.39,163.11,174.25,-1.06,57.58,33.16,17.93,0.0,124.27,123.15,36.15,159.3,6.95,152.35,0.0,152.35,38.19,114.16,0.0,114.16,10.4,21.96,21.96,0.0,0.0,0.0,0.0,0.0
2021-03-31,692.3,8.47,700.77,153.22,159.99,10.74,64.27,38.43,23.27,0.0,131.93,118.92,16.88,135.8,9.4,126.4,0.0,126.4,30.97,95.43,0.0,95.43,10.4,18.35,18.35,0.0,0.0,0.0,0.0,0.0
2021-06-30,600.71,6.01,606.72,129.82,158.74,-12.8,66.82,34.25,13.42,0.0,106.83,109.64,25.32,134.96,7.41,127.55,0.0,127.55,19.46,108.09,0.0,108.09,10.4,20.79,20.79,0.0,0.0,0.0,0.0,0.0
2021-09-30,630.61,9.1,639.71,140.46,142.64,7.6,65.39,34.86,20.36,0.0,119.84,108.56,34.46,143.02,7.55,135.47,0.0,135.47,33.48,101.99,0.0,101.99,10.4,19.62,19.62,0.0,0.0,0.0,0.0,0.0
2021-12-31,696.8,8.55,705.35,180.3,151.88,-14.81,68.62,36.7,17.86,0.0,126.19,138.61,26.8,165.41,7.56,157.85,0.0,157.85,39.86,117.99,0.0,117.99,10.4,22.69,22.69,0.0,0.0,0.0,0.0,0.0
2022-03-31,717.17,5.34,722.51,156.59,156.89,27.74,50.14,36.35,0.0,0.0,166.72,128.08,23.91,151.99,11.26,140.73,0.0,140.73,36.83,103.9,0.0,103.9,10.4,19.98,19.98,0.0,0.0,0.0,0.0,0.0
2022-06-30,819.4,7.83,827.23,199.45,187.0,10.32,65.61,37.7,0.0,0.0,158.84,168.31,2.09,170.4,6.37,164.03,0.0,164.03,27.85,136.18,0.0,136.18,10.4,26.19,26.19,0.0,0.0,0.0,0.0,0.0
