Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,11029.8,0.0,11029.8,0.0,567.1,5692.6,0.0,7151.1,-2381.0,311.1,-2069.9,3717.1,-5787.0,-630.9,-6417.9,0.0,-6417.9,-6417.9,28735.4,-2.23,-2.23,0.0,0.0,0.0,0.0,0.0
2020-03-31,11664.6,7.3,11671.9,0.0,279.3,5847.9,0.0,7106.6,-1561.9,162.0,-1399.9,4173.2,-5573.1,-6375.7,-11948.8,0.0,-11948.8,-11948.8,28735.4,-4.16,-4.16,0.0,0.0,0.0,0.0,0.0
2020-06-30,10589.5,4.4,10593.9,0.0,530.3,5793.8,0.0,6043.6,-1773.8,164.0,-1609.8,3800.9,-5410.7,-19923.2,-25333.9,0.0,-25333.9,-25333.9,28735.4,-8.82,-8.82,0.0,0.0,0.0,0.0,0.0
2020-09-30,10720.3,3.2,10723.5,0.0,468.2,5844.0,0.0,6188.5,-1777.2,27.0,-1750.2,4697.1,-6447.3,-768.3,-7215.6,0.0,-7215.6,-7215.6,28735.4,-2.51,-2.51,0.0,0.0,0.0,0.0,0.0
2020-12-31,10821.4,3.0,10824.4,0.0,458.0,5638.9,0.0,6259.4,-1531.9,36.3,-1495.6,4782.6,-6278.2,-439.5,-6717.7,0.0,-6717.7,-6717.7,28735.4,-2.34,-2.34,0.0,0.0,0.0,0.0,0.0
2021-03-31,9530.9,0.0,9530.9,0.0,401.8,5629.5,0.0,4894.4,-1394.8,31.1,-1363.7,4711.0,-6074.7,-972.6,-7047.3,-20.8,-7026.5,-7026.5,28735.4,-2.45,-2.45,0.0,0.0,0.0,0.0,0.0
2021-06-30,9088.2,0.0,9088.2,0.0,340.7,5831.9,0.0,5188.6,-2273.0,29.2,-2243.8,5223.2,-7467.0,51.3,-7415.7,0.0,-7415.7,-7415.7,28735.4,-2.58,-2.58,0.0,0.0,0.0,0.0,0.0
2021-09-30,9321.5,0.0,9321.5,0.0,394.5,5743.8,0.0,5278.4,-2095.2,22.8,-2072.4,5112.8,-7185.2,13.5,-7171.7,0.0,-7171.7,-7171.7,28735.4,-2.5,-2.5,0.0,0.0,0.0,0.0,0.0
2021-12-31,9644.8,0.0,9644.8,0.0,399.5,5550.5,0.0,5595.7,-1900.9,25.2,-1875.7,5324.7,-7200.4,11.6,-7188.8,0.0,-7188.8,-7188.8,28735.4,-2.5,-2.5,0.0,0.0,0.0,0.0,0.0
2022-03-31,10166.2,0.0,10166.2,0.6,426.7,5731.3,0.0,5162.5,-1154.9,20.3,-1134.6,5312.7,-6447.3,-13.7,-6461.0,0.0,-6461.0,-6461.0,32118.8,-2.25,-2.25,0.0,0.0,0.0,0.0,0.0
2022-06-30,10340.2,2.7,10342.9,0.0,410.8,5620.8,0.0,5761.8,-1450.5,81.1,-1369.4,5902.3,-7271.7,0.0,-7271.7,0.0,-7271.7,-7271.7,32118.8,-2.26,-2.26,0.0,0.0,0.0,0.0,0.0
2022-09-30,10543.1,3.3,10546.4,0.0,396.2,5476.9,0.0,6190.4,-1517.1,86.2,-1430.9,6131.9,-7562.8,0.0,-7562.8,0.0,-7562.8,-7562.8,32118.8,-2.33,-2.33,0.0,0.0,0.0,0.0,0.0
2022-12-31,10544.6,8.3,10552.9,0.0,438.7,5721.9,0.0,6059.0,-1666.7,23.3,-1643.4,6310.6,-7954.0,0.0,-7954.0,0.0,-7954.0,-7954.0,32118.8,-2.44,-2.44,0.0,0.0,0.0,0.0,0.0
2023-03-31,10474.9,0.0,10474.9,1.2,439.4,5542.6,0.0,5943.7,-1452.0,80.1,-1371.9,4999.1,-6371.0,-148.3,-6519.3,0.0,-6519.3,-6519.3,48679.7,-1.55,-1.55,0.0,0.0,0.0,0.0,0.0
2023-06-30,10530.5,45.2,10575.7,0.0,455.4,5459.4,0.0,6116.9,-1456.0,16.8,-1439.2,6399.7,-7838.9,0.0,-7838.9,0.0,-7838.9,-7838.9,48679.7,-1.61,-1.61,0.0,0.0,0.0,0.0,0.0
2023-09-30,10651.4,0.0,10651.4,0.7,483.4,5510.7,0.0,6012.8,-1356.2,20.1,-1336.1,6569.7,-7905.8,0.0,-7905.8,822.0,-8727.8,-8727.8,48679.7,-1.79,-1.79,0.0,0.0,0.0,0.0,0.0
2023-12-31,10593.8,0.0,10593.8,0.4,493.4,5445.9,0.0,5899.7,-1245.6,11.3,-1234.3,6511.9,-7746.2,755.5,-6990.7,0.0,-6990.7,-6990.7,48679.7,-1.44,-1.44,0.0,0.0,0.0,0.0,0.0
2024-03-31,10472.3,0.0,10472.3,0.2,494.8,5572.3,0.0,5843.2,-1438.2,41.1,-1397.1,6281.7,-7678.8,0.0,-7678.8,0.0,-7678.8,-7678.8,50119.8,-1.57,-1.57,0.0,0.0,0.0,0.0,0.0
2024-06-30,10412.1,0.0,10412.1,0.1,495.7,5224.5,0.0,5908.7,-1216.9,264.4,-952.5,5518.8,-6471.3,0.0,-6471.3,0.0,-6471.3,-6471.3,67878.9,-1.03,-1.03,0.0,0.0,0.0,0.0,0.0
2024-09-30,10841.4,0.0,10841.4,0.0,530.6,5258.4,0.0,5960.2,-907.8,303.9,-603.9,6605.6,-7209.5,0.0,-7209.5,0.0,-7209.5,-7209.5,69699.8,-1.04,-1.04,0.0,0.0,0.0,0.0,0.0
2024-12-31,11006.9,17.4,11024.3,0.0,493.9,5483.9,0.0,5977.7,-931.2,240.2,-691.0,5943.7,-6634.7,142.1,-6492.6,0.0,-6492.6,-6492.6,69699.8,-0.93,-0.93,0.0,0.0,0.0,0.0,0.0
