Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-03-31,545.46,0.0,545.46,0.17,92.45,0.0,136.51,54.66,163.99,97.68,16.01,113.69,4.92,108.77,108.77,19.75,89.02,-0.07,88.95,483.51,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2022-06-30,348.39,0.0,348.39,1.66,-26.27,0.0,71.7,54.97,174.65,71.68,10.74,82.42,4.04,78.38,78.38,21.29,57.09,0.0,57.09,483.51,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2022-09-30,212.14,0.0,212.14,1.23,-119.29,0.0,73.07,50.3,193.09,13.74,21.86,35.6,3.56,32.04,32.04,6.16,25.88,0.0,25.88,483.51,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2022-12-31,557.04,0.0,557.04,4.97,131.72,0.0,80.8,9.15,225.58,104.82,11.66,116.48,5.14,111.34,111.34,31.14,80.2,0.0,80.2,483.51,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2023-03-31,559.76,0.0,559.76,7.36,5.93,0.0,78.97,60.51,281.51,125.48,51.61,177.09,3.19,173.9,173.9,41.76,132.14,0.0,132.14,483.51,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2023-06-30,370.94,0.0,370.94,9.5,-25.44,0.0,62.78,40.73,230.98,52.39,13.79,66.18,3.97,62.21,62.21,14.92,47.29,0.0,47.29,483.51,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2023-09-30,381.4,0.0,381.4,14.25,-52.16,0.0,66.81,45.59,231.33,75.58,11.25,86.83,4.08,82.75,82.75,21.94,60.81,0.0,60.81,483.51,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2023-12-31,399.29,0.0,399.29,9.52,-15.96,0.0,73.74,29.91,225.39,76.69,9.95,86.64,4.46,82.18,82.18,19.18,63.0,0.0,63.0,483.51,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,565.37,0.0,565.37,15.88,-20.66,0.0,62.58,58.64,281.88,167.05,19.85,186.9,3.61,183.29,183.29,58.98,124.31,0.0,124.31,483.51,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2024-06-30,493.6,0.0,493.6,19.8,-47.67,0.0,83.22,38.05,249.8,150.4,6.84,157.24,3.11,154.13,154.13,40.72,113.41,0.0,113.41,483.51,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2024-09-30,518.19,0.0,518.19,22.89,8.96,0.0,74.33,47.58,260.2,104.23,31.86,136.09,0.76,135.33,135.33,33.65,101.68,0.0,101.68,483.51,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2024-12-31,327.77,0.0,327.77,25.04,-122.35,0.0,74.84,37.63,242.64,69.97,15.8,85.77,1.31,84.46,84.46,21.56,62.9,0.0,62.9,483.51,0.65,0.65,0.0,0.0,0.0,0.0,0.0
