Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,1419.17,0.0,1419.17,732.29,24.74,67.97,0.0,146.33,77.46,0.0,304.82,65.56,4.69,70.25,19.64,50.61,0.0,50.61,10.95,39.66,0.0,39.66,509.6,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2022-12-31,1618.4,0.0,1618.4,882.16,0.84,-50.58,0.0,165.75,77.72,0.0,347.57,194.94,6.33,201.27,18.01,183.26,0.0,183.26,41.22,142.04,0.0,142.04,509.6,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2023-03-31,1562.83,0.0,1562.83,789.23,1.61,-3.5,0.0,153.01,78.97,0.0,374.33,169.18,8.14,177.32,21.67,155.65,0.0,155.65,39.25,116.4,0.0,116.4,509.6,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2023-06-30,1466.93,0.0,1466.93,750.55,4.42,-31.8,0.0,172.32,87.41,0.0,343.34,140.69,11.23,151.92,31.4,120.52,0.0,120.52,30.21,90.31,0.0,90.31,509.6,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2023-09-30,1761.18,0.0,1761.18,936.73,16.47,-38.74,0.0,204.46,88.09,0.0,402.64,151.53,14.34,165.87,34.17,131.7,36.05,167.75,40.09,127.66,0.0,127.66,509.6,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2023-12-31,1823.28,0.0,1823.28,958.88,6.79,-42.96,0.0,227.11,89.29,0.0,414.03,170.14,13.76,183.9,40.03,143.87,0.0,143.87,36.45,107.42,0.0,107.42,509.6,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2024-03-31,1679.03,0.0,1679.03,856.45,2.91,15.41,0.0,231.41,95.41,0.0,365.0,112.44,20.57,133.01,48.88,84.13,0.0,84.13,19.94,64.19,0.0,64.19,509.6,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,1734.69,0.0,1734.69,882.49,2.17,14.4,0.0,218.48,90.6,0.0,393.63,132.92,14.96,147.88,46.33,101.55,0.0,101.55,27.96,73.59,0.0,73.59,509.6,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,1709.17,0.0,1709.17,930.71,0.73,-57.8,0.0,216.11,90.78,0.0,394.69,133.95,11.35,145.3,46.2,99.1,0.0,99.1,15.64,83.46,0.0,83.46,509.6,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2024-12-31,1662.58,0.0,1662.58,823.14,0.64,36.73,0.0,225.31,91.51,0.0,367.05,118.2,15.26,133.46,34.47,98.99,0.0,98.99,21.05,77.94,0.0,77.94,509.6,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2025-03-31,1859.45,0.0,1859.45,890.7,0.63,70.66,0.0,231.52,89.11,0.0,422.61,154.22,18.21,172.43,2.42,170.01,0.0,170.01,38.17,131.84,0.0,131.84,509.6,0.26,0.26,0.0,0.0,0.0,0.0,0.0
