Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,275.54,0.0,275.54,79.5,62.9,26.14,4.25,64.69,38.06,148.18,186.24,71.57,114.67,114.67,45.0,69.67,69.67,126.01,0.0,2.76,2.76,0.0,0.0,0.0,0.0,0.0
2020-03-31,780.83,0.0,780.83,302.85,153.79,76.22,4.59,166.41,76.97,154.86,231.83,62.53,169.3,169.3,73.71,95.59,95.59,126.01,0.0,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2020-06-30,52.27,0.0,52.27,161.23,-141.85,26.32,3.66,70.65,-67.74,153.66,85.92,63.08,22.84,22.84,16.45,6.39,6.39,126.01,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2020-09-30,57.48,0.0,57.48,302.22,-273.34,27.56,4.03,75.09,-78.08,171.27,93.19,62.49,30.7,30.7,19.78,10.92,10.92,126.04,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2020-12-31,72.83,0.0,72.83,435.16,-400.9,23.6,4.14,84.61,-73.78,167.45,93.67,57.02,36.65,36.65,28.29,8.36,8.36,126.04,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2021-03-31,387.84,0.0,387.84,443.59,-231.89,180.32,4.38,124.87,-133.43,181.85,48.42,51.93,-3.51,-3.51,62.65,-66.16,-66.16,138.97,0.0,-2.58,-2.58,0.0,0.0,0.0,0.0,0.0
2021-06-30,30.38,0.0,30.38,74.51,-76.45,23.05,4.22,69.67,-64.62,200.02,135.4,55.12,80.28,80.28,23.59,56.69,56.69,138.99,0.0,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2021-09-30,114.25,0.0,114.25,122.81,-71.61,20.27,4.33,88.82,-50.37,226.03,175.66,55.98,119.68,119.68,30.43,89.25,89.25,138.99,0.0,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2021-12-31,244.13,0.0,244.13,401.56,-243.91,17.06,4.52,68.81,-3.91,226.04,222.13,55.64,166.49,166.49,40.58,125.91,125.91,138.99,0.0,4.53,4.53,0.0,0.0,0.0,0.0,0.0
2022-03-31,1084.69,0.0,1084.69,157.05,559.29,27.27,4.7,139.47,196.91,217.54,414.45,66.48,347.97,347.97,92.97,255.0,255.0,138.99,0.0,9.17,9.17,0.0,0.0,0.0,0.0,0.0
2022-06-30,214.15,0.0,214.15,375.76,-286.21,29.51,4.47,72.94,17.68,225.14,242.82,56.21,186.61,186.61,46.1,140.51,140.51,139.0,0.0,5.05,5.05,0.0,0.0,0.0,0.0,0.0
2022-09-30,152.22,0.0,152.22,426.74,-371.98,27.3,4.45,91.66,-25.95,237.11,211.16,59.2,151.96,151.96,33.07,118.89,118.89,139.01,0.0,4.28,4.28,0.0,0.0,0.0,0.0,0.0
2022-12-31,178.46,0.0,178.46,1832.12,-1748.74,21.94,5.1,70.49,-2.45,249.14,246.69,60.97,185.72,185.72,55.97,129.75,129.75,139.01,0.0,4.67,4.67,0.0,0.0,0.0,0.0,0.0
2023-03-31,610.22,0.0,610.22,1535.14,-1276.01,99.43,4.94,117.33,129.39,233.61,363.0,56.75,306.25,306.25,39.73,266.52,266.52,139.01,0.0,9.59,9.59,0.0,0.0,0.0,0.0,0.0
2023-06-30,309.98,0.0,309.98,758.23,-579.77,40.57,5.38,129.52,-43.95,257.53,213.58,55.47,158.11,158.11,36.77,121.34,121.34,139.01,0.0,4.46,4.46,0.0,0.0,0.0,0.0,0.0
2023-09-30,224.58,0.0,224.58,423.21,-321.77,54.04,5.33,102.15,-38.38,274.69,236.31,84.94,151.37,151.37,28.61,122.76,122.76,139.02,0.0,4.42,4.41,0.0,0.0,0.0,0.0,0.0
2023-12-31,136.15,0.0,136.15,882.7,-852.24,49.07,6.39,110.83,-60.6,316.46,255.86,118.25,137.61,137.61,34.25,103.36,103.36,139.02,0.0,3.72,3.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,659.9,0.0,659.9,1888.19,-1553.26,77.69,7.24,197.84,42.2,346.32,388.52,121.36,267.16,267.16,50.27,216.89,216.89,139.02,10373.26,7.8,7.8,0.0,0.0,0.0,0.0,0.0
2024-06-30,189.47,0.0,189.47,1849.01,-1747.6,71.19,8.26,213.45,-204.84,986.77,781.93,112.5,669.43,669.43,178.11,491.32,491.32,139.03,0.0,17.67,17.67,0.0,0.0,0.0,0.0,0.0
2024-09-30,663.47,0.0,663.47,694.29,-269.38,74.11,9.34,204.34,-49.23,375.16,325.93,147.85,178.08,178.08,-28.22,206.3,206.3,139.03,0.0,7.42,7.41,0.0,0.0,0.0,0.0,0.0
2024-12-31,184.99,0.0,184.99,2396.01,-2297.26,69.47,8.36,197.51,-189.1,400.42,211.32,155.41,55.91,55.91,21.06,34.85,34.85,150.59,0.0,1.22,1.22,0.0,0.0,0.0,0.0,0.0
2025-03-31,911.69,0.0,911.69,2325.71,-1737.83,68.8,11.47,177.89,65.65,445.41,511.06,149.66,361.4,361.4,82.86,278.54,278.54,150.59,0.0,9.25,9.25,0.0,0.0,0.0,0.0,0.0
