Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,1052.36,0.0,1052.36,233.05,50.04,1.81,204.62,34.31,0.0,241.73,286.8,0.29,287.09,6.93,280.16,0.0,280.16,48.97,231.19,0.0,231.19,37.7,12.26,12.26,0.0,0.0,0.0,0.0,0.0
2020-03-31,1048.56,0.0,1048.56,273.3,54.01,-78.69,204.47,36.35,0.0,299.21,259.91,131.01,390.92,6.97,383.95,-10.0,373.95,59.65,314.3,0.0,314.3,37.7,16.67,16.67,0.0,0.0,0.0,0.0,0.0
2020-06-30,1258.43,0.0,1258.43,256.93,47.99,37.85,249.37,35.84,0.0,242.94,387.51,0.16,387.67,6.09,381.58,0.0,381.58,62.94,318.64,0.0,318.64,37.7,16.9,16.9,0.0,0.0,0.0,0.0,0.0
2020-09-30,1400.01,0.0,1400.01,322.66,85.72,-63.82,250.36,36.71,0.0,348.94,419.44,2.84,422.28,2.33,419.95,0.0,419.95,71.65,348.3,0.0,348.3,39.31,18.02,18.02,0.0,0.0,0.0,0.0,0.0
2020-12-31,1235.77,0.0,1235.77,325.55,74.61,-91.43,236.53,38.21,0.0,318.76,333.54,2.71,336.25,2.21,334.04,0.0,334.04,56.69,277.35,0.0,277.35,39.31,14.11,14.11,0.0,0.0,0.0,0.0,0.0
2021-03-31,1157.24,0.0,1157.24,270.57,71.0,-39.73,212.01,41.84,0.0,322.4,279.15,4.03,283.18,2.14,281.04,0.0,281.04,49.93,231.11,0.0,231.11,39.31,11.76,11.76,0.0,0.0,0.0,0.0,0.0
2021-06-30,1269.69,0.0,1269.69,287.02,112.83,-17.58,261.59,43.49,0.0,348.86,233.48,1.74,235.22,2.03,233.19,0.0,233.19,40.5,192.69,0.0,192.69,39.31,9.8,9.8,0.0,0.0,0.0,0.0,0.0
2021-09-30,1189.77,0.0,1189.77,247.05,76.6,28.96,266.8,44.53,0.0,333.42,192.42,1.71,194.13,4.41,189.71,0.0,189.71,33.36,156.36,0.0,156.36,39.31,7.95,7.95,0.0,0.0,0.0,0.0,0.0
2021-12-31,1232.83,0.0,1232.83,273.64,68.3,29.23,253.22,45.34,0.0,325.69,237.41,1.42,238.83,4.31,234.52,0.0,234.52,40.94,193.58,0.0,193.58,39.31,9.85,9.85,0.0,0.0,0.0,0.0,0.0
2022-03-31,1304.32,0.0,1304.32,304.05,95.63,-22.19,246.58,45.95,0.0,388.95,245.36,11.59,256.95,5.92,251.03,0.0,251.03,-0.34,251.37,0.0,251.37,39.31,12.79,12.79,0.0,0.0,0.0,0.0,0.0
2022-06-30,1160.33,0.0,1160.33,258.66,90.36,31.04,259.07,46.09,0.0,394.58,80.54,0.62,81.16,8.7,72.46,0.0,72.46,0.0,72.46,0.0,72.46,39.31,3.69,3.69,0.0,0.0,0.0,0.0,0.0
2022-09-30,1354.42,0.0,1354.42,343.71,95.09,-16.99,267.88,66.8,0.0,419.44,178.49,0.47,178.96,11.96,167.0,0.0,167.0,20.56,146.44,0.0,146.44,39.31,7.45,7.45,0.0,0.0,0.0,0.0,0.0
