Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-06-30,342.38,0.0,342.38,0.0,89.0,28.9,0.0,174.17,50.31,14.58,64.89,8.2,56.69,0.0,56.69,14.28,42.41,0.0,42.41,125.07,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2022-09-30,355.69,0.0,355.69,0.0,92.24,28.68,0.0,185.6,49.17,11.81,60.98,7.61,53.37,-13.02,40.35,13.15,27.2,0.0,27.2,125.07,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2022-12-31,512.23,0.0,512.23,0.0,99.77,28.75,0.0,232.0,151.71,12.26,163.97,6.79,157.18,-21.04,136.14,32.2,103.94,0.0,103.94,125.07,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2023-03-31,563.37,0.0,563.37,0.0,101.56,28.92,0.0,235.93,196.96,23.51,220.47,6.55,213.92,-10.52,203.4,56.78,146.62,0.0,146.62,125.07,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2023-06-30,426.84,0.0,426.84,44.51,98.58,29.11,0.0,158.03,96.61,27.88,124.49,4.27,120.22,0.0,120.22,30.18,90.04,0.0,90.04,125.07,1.44,1.44,0.0,0.0,0.0,0.0,0.0
2023-09-30,465.18,0.0,465.18,46.07,115.47,30.28,0.0,179.59,93.77,24.4,118.17,4.27,113.9,0.0,113.9,28.72,85.18,0.0,85.18,125.07,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2023-12-31,652.12,0.0,652.12,0.0,112.42,30.78,0.0,259.25,249.67,27.95,277.62,4.37,273.25,-22.3,250.95,64.07,186.88,0.0,186.88,125.07,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2024-03-31,649.33,0.0,649.33,0.0,117.65,30.34,0.0,274.32,227.02,43.09,270.11,3.23,266.88,-59.93,206.95,48.15,158.8,0.0,158.8,125.07,2.54,2.54,0.0,0.0,0.0,0.0,0.0
2024-06-30,455.94,0.0,455.94,0.0,116.6,30.57,0.0,230.41,78.36,41.88,120.24,3.7,116.54,-2.15,114.39,29.04,85.35,0.0,85.35,125.07,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2024-09-30,520.72,0.0,520.72,52.36,119.66,31.85,0.0,196.52,120.33,36.96,157.29,4.12,153.17,-2.01,151.16,36.73,114.43,0.0,114.43,125.07,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2024-12-31,695.39,0.0,695.39,62.7,126.13,31.39,0.0,204.03,271.14,26.96,298.1,3.97,294.13,-2.08,292.05,72.32,219.73,0.0,219.73,125.07,3.52,3.52,0.0,0.0,0.0,0.0,0.0
2025-03-31,727.82,0.0,727.82,0.0,129.6,30.01,0.0,292.3,275.91,29.62,305.53,3.78,301.75,103.14,404.89,73.12,331.77,0.0,331.77,125.07,5.3,5.3,0.0,0.0,0.0,0.0,0.0
