Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-03-31,14412.0,0.0,14412.0,9590.0,41.0,-77.0,1484.0,502.0,442.0,-1.0,1386.0,1045.0,53.0,1098.0,331.0,767.0,23.0,790.0,295.0,495.0,0.0,495.0,222.0,0.0,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2021-06-30,13298.0,0.0,13298.0,7637.0,257.0,-245.0,1520.0,488.0,442.0,2.0,1543.0,1654.0,101.0,1755.0,347.0,1408.0,0.0,1408.0,498.0,910.0,0.0,910.0,223.0,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,17290.0,0.0,17290.0,10790.0,392.0,-430.0,1634.0,510.0,424.0,95.0,1261.0,2614.0,163.0,2777.0,343.0,2434.0,0.0,2434.0,826.0,1608.0,0.0,1608.0,222.0,51880.0,7.23,7.21,0.0,0.0,0.0,0.0,0.0
2021-12-31,18096.0,0.0,18096.0,11814.0,306.0,-1016.0,1720.0,525.0,437.0,2.0,1945.0,2363.0,102.0,2465.0,371.0,2094.0,0.0,2094.0,706.0,1388.0,0.0,1388.0,222.0,54071.0,6.24,6.24,0.0,0.0,0.0,0.0,0.0
2022-03-31,18969.0,0.0,18969.0,11811.0,967.0,-1653.0,1907.0,535.0,449.0,-2.0,2140.0,2815.0,169.0,2984.0,356.0,2628.0,-107.0,2521.0,920.0,1601.0,0.0,1601.0,222.0,54206.0,7.2,7.19,0.0,0.0,0.0,0.0,0.0
2022-06-30,19518.0,0.0,19518.0,9753.0,120.0,1631.0,2512.0,519.0,451.0,2.0,2054.0,2476.0,93.0,2569.0,333.0,2236.0,41.0,2277.0,829.0,1448.0,0.0,1448.0,222.0,56267.0,6.51,6.5,0.0,0.0,0.0,0.0,0.0
2022-09-30,18382.0,0.0,18382.0,10680.0,312.0,20.0,3459.0,555.0,449.0,61.0,1918.0,928.0,190.0,1118.0,322.0,796.0,0.0,796.0,248.0,548.0,0.0,548.0,222.0,57562.0,2.46,2.46,0.0,0.0,0.0,0.0,0.0
2022-12-31,18983.0,0.0,18983.0,12323.0,989.0,-852.0,2961.0,566.0,464.0,8.0,1645.0,879.0,137.0,1016.0,309.0,707.0,0.0,707.0,209.0,498.0,0.0,498.0,222.0,57818.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2023-03-31,19995.0,0.0,19995.0,13037.0,132.0,263.0,2386.0,578.0,510.0,-6.0,1830.0,1265.0,166.0,1431.0,336.0,1095.0,0.0,1095.0,263.0,832.0,0.0,832.0,222.0,58267.0,3.75,3.74,0.0,0.0,0.0,0.0,0.0
2023-06-30,19904.0,0.0,19904.0,12260.0,665.0,620.0,0.0,579.0,482.0,0.0,4219.0,1079.0,225.0,1304.0,352.0,952.0,-12.0,940.0,340.0,600.0,0.0,600.0,222.0,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0
2023-09-30,20676.0,0.0,20676.0,15200.0,259.0,-1247.0,0.0,610.0,489.0,0.0,4098.0,1267.0,166.0,1433.0,338.0,1095.0,33.0,1128.0,281.0,847.0,0.0,847.0,222.0,0.0,3.81,3.81,0.0,0.0,0.0,0.0,0.0
2023-12-31,20289.0,0.0,20289.0,13097.0,707.0,1.0,0.0,635.0,483.0,0.0,3886.0,1480.0,133.0,1613.0,317.0,1296.0,0.0,1296.0,458.0,838.0,0.0,838.0,222.0,0.0,3.77,3.77,0.0,0.0,0.0,0.0,0.0
2024-03-31,22140.0,0.0,22140.0,14406.0,128.0,547.0,2186.0,626.0,507.0,0.0,2027.0,1713.0,179.0,1892.0,261.0,1631.0,0.0,1631.0,219.0,1412.0,0.0,1412.0,222.0,0.0,6.36,6.35,0.0,0.0,0.0,0.0,0.0
2024-06-30,22155.0,0.0,22155.0,14975.0,316.0,-682.0,2115.0,625.0,499.0,0.0,2057.0,2250.0,155.0,2405.0,244.0,2161.0,0.0,2161.0,690.0,1471.0,0.0,1471.0,222.0,0.0,6.62,6.61,0.0,0.0,0.0,0.0,0.0
2024-09-30,22262.0,0.0,22262.0,15761.0,626.0,-1208.0,0.0,648.0,492.0,0.0,3686.0,2257.0,825.0,3082.0,234.0,2848.0,0.0,2848.0,957.0,1891.0,0.0,1891.0,222.0,0.0,8.51,8.5,0.0,0.0,0.0,0.0,0.0
2024-12-31,23776.0,0.0,23776.0,14490.0,153.0,1215.0,2451.0,681.0,514.0,0.0,2122.0,2150.0,140.0,2290.0,226.0,2064.0,0.0,2064.0,601.0,1463.0,0.0,1463.0,222.0,0.0,6.59,6.58,0.0,0.0,0.0,0.0,0.0
2025-03-31,25116.0,0.0,25116.0,16562.0,94.0,545.0,2056.0,667.0,524.0,0.0,2193.0,2475.0,209.0,2684.0,235.0,2449.0,0.0,2449.0,888.0,1561.0,0.0,1561.0,222.0,69984.0,7.03,7.02,0.0,0.0,0.0,0.0,0.0
