Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,911.97,0.0,911.97,148.46,50.14,12.93,117.56,61.58,31.04,293.69,196.57,15.8,212.37,24.88,187.49,0.0,187.49,34.69,152.8,213.59,366.39,254.82,14.38,14.38,0.0,0.0,0.0,0.0,0.0
2018-03-31,918.25,0.0,918.25,147.98,52.34,-11.51,125.81,65.97,31.93,280.69,225.04,70.94,295.98,24.56,271.42,1266.72,1538.14,96.22,1441.92,-412.43,1029.49,254.82,40.41,40.41,0.0,0.0,0.0,0.0,0.0
2018-06-30,995.81,0.0,995.81,159.62,67.85,-36.0,144.29,68.22,33.19,329.79,228.85,161.83,390.68,23.15,367.53,0.0,367.53,103.64,263.89,-7.98,255.91,254.82,10.05,10.05,0.0,0.0,0.0,0.0,0.0
2018-09-30,1013.61,0.0,1013.61,138.89,79.66,11.15,141.6,52.98,36.42,333.15,219.76,189.37,409.13,28.66,380.47,0.0,380.47,85.34,295.13,0.0,295.13,254.82,11.58,11.58,0.0,0.0,0.0,0.0,0.0
2018-12-31,1019.04,0.0,1019.04,155.46,90.8,-22.22,143.1,67.2,35.99,360.21,188.5,23.19,211.69,22.74,188.95,0.0,188.95,60.58,128.37,0.0,128.37,254.82,5.04,5.04,0.0,0.0,0.0,0.0,0.0
2019-03-31,861.03,0.0,861.03,136.07,14.97,87.61,144.84,61.16,38.74,235.24,142.4,83.84,226.24,18.14,208.1,0.0,208.1,35.88,172.22,66.68,238.9,254.82,9.38,9.38,0.0,0.0,0.0,0.0,0.0
2019-06-30,1031.44,0.0,1031.44,126.25,74.65,3.73,143.13,67.67,36.94,349.23,229.84,157.67,387.51,20.24,367.27,-8.0,359.27,104.79,254.48,0.0,254.48,254.82,9.99,9.99,0.0,0.0,0.0,0.0,0.0
2019-09-30,1020.57,0.0,1020.57,156.74,74.86,-32.9,132.57,69.08,36.3,351.96,231.96,95.09,327.05,14.9,312.15,0.0,312.15,18.5,293.65,0.0,293.65,254.82,11.53,11.53,0.0,0.0,0.0,0.0,0.0
2019-12-31,759.37,0.0,759.37,151.55,32.6,-27.03,136.33,62.03,36.44,209.39,158.06,34.94,193.0,5.1,187.9,0.0,187.9,50.85,137.05,-20.8,116.25,254.82,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2020-03-31,734.05,0.0,734.05,121.73,36.28,-1.59,143.17,80.57,41.56,213.57,98.76,47.47,146.23,3.85,142.38,0.0,142.38,24.53,117.85,6236.72,6354.57,254.82,249.44,249.44,0.0,0.0,0.0,0.0,0.0
