Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,1552.94,1552.94,0.0,78.15,29.53,125.86,782.47,536.93,44.52,581.45,1.39,580.06,0.0,580.06,214.87,365.19,0.0,365.19,96.04,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2018-03-31,1491.48,1491.48,0.0,117.34,36.77,102.19,729.08,506.1,509.77,1015.87,128.15,887.72,0.0,887.72,266.27,621.45,0.0,621.45,96.05,6.47,6.47,0.0,0.0,0.0,0.0,0.0
2018-06-30,1563.26,1563.26,0.0,119.8,40.14,103.68,760.74,538.9,45.17,584.07,5.03,579.04,0.0,579.04,212.55,366.49,0.0,366.49,96.05,3.82,3.82,0.0,0.0,0.0,0.0,0.0
2018-09-30,1677.12,1677.12,0.0,122.77,41.09,135.93,798.73,578.6,56.91,635.51,5.0,630.51,0.0,630.51,253.51,377.0,0.0,377.0,96.05,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2018-12-31,1930.18,1930.18,0.0,133.38,40.96,171.6,747.87,836.37,48.62,884.99,5.11,879.88,0.0,879.88,276.87,603.01,0.0,603.01,96.05,6.28,6.28,0.0,0.0,0.0,0.0,0.0
2019-03-31,1687.3,1687.3,0.0,165.91,36.75,171.01,711.27,602.36,38.66,641.02,113.29,527.73,-21.8,505.93,197.64,308.29,0.0,308.29,96.05,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,1789.89,1789.89,0.0,158.98,48.61,170.8,752.82,658.68,91.81,750.49,19.64,730.85,0.0,730.85,218.66,512.19,0.0,512.19,96.05,5.33,5.33,0.0,0.0,0.0,0.0,0.0
2019-09-30,1851.65,1851.65,0.0,168.16,34.95,91.09,1180.32,377.13,53.52,430.65,17.23,413.42,-170.62,242.8,45.21,197.59,0.0,197.59,96.05,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2019-12-31,1852.89,1852.89,0.0,164.89,42.39,151.4,1031.61,462.6,41.45,504.05,18.45,485.6,0.0,485.6,151.68,333.92,0.0,333.92,96.05,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2020-03-31,1724.56,1724.56,0.0,124.89,51.69,162.95,1485.04,-100.01,41.02,-58.99,83.72,-142.71,-113.7,-256.41,39.33,-295.74,0.0,-295.74,96.05,-3.08,-3.08,0.0,0.0,0.0,0.0,0.0
2020-06-30,1112.49,1112.49,0.0,161.21,44.71,0.0,828.97,77.6,12.77,90.37,1.52,88.85,0.0,88.85,24.58,64.27,0.0,64.27,96.05,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2020-09-30,1580.48,1580.48,0.0,159.02,37.06,156.08,920.63,307.69,36.43,344.12,2.08,342.04,-97.1,244.94,73.04,171.9,0.0,171.9,96.05,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2020-12-31,2089.24,2089.24,0.0,174.48,32.9,165.36,1071.08,645.42,31.49,676.91,1.17,675.74,0.0,675.74,206.31,469.43,0.0,469.43,96.05,4.89,4.89,0.0,0.0,0.0,0.0,0.0
2021-03-31,1820.63,1820.63,0.0,184.7,30.99,112.86,981.15,510.93,181.64,692.57,47.77,644.8,-29.54,615.26,177.84,437.42,0.0,437.42,96.06,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2021-06-30,1609.39,1609.39,0.0,179.77,28.32,146.4,865.86,389.04,32.9,421.94,0.75,421.19,-3.7,417.49,105.6,311.89,0.0,311.89,96.06,3.25,3.25,0.0,0.0,0.0,0.0,0.0
2021-09-30,1823.67,1823.67,0.0,163.12,27.86,207.97,1005.46,419.26,33.75,453.01,1.34,451.67,-14.0,437.67,111.39,326.28,0.0,326.28,96.06,3.4,3.4,0.0,0.0,0.0,0.0,0.0
2021-12-31,1964.82,1964.82,0.0,170.92,25.32,195.18,1066.37,507.03,19.65,526.68,1.24,525.44,-15.4,510.04,131.07,378.97,0.0,378.97,96.06,3.95,3.95,0.0,0.0,0.0,0.0,0.0
2022-03-31,2113.26,2113.26,0.0,177.19,29.14,197.87,1189.18,519.88,33.04,552.92,37.08,515.84,-94.0,421.84,100.13,321.71,0.0,321.71,96.06,3.35,3.35,0.0,0.0,0.0,0.0,0.0
2022-06-30,1663.24,1663.24,0.0,165.34,41.7,201.3,1057.15,197.75,127.17,324.92,7.65,317.27,-15.0,302.27,53.4,248.87,0.0,248.87,96.06,2.59,2.59,0.0,0.0,0.0,0.0,0.0
2022-09-30,1893.24,1893.24,0.0,183.75,44.01,277.08,1182.32,206.08,79.71,285.79,8.32,277.47,-46.64,230.83,54.27,176.56,0.0,176.56,96.06,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2022-12-31,1931.21,1931.21,0.0,162.24,51.9,206.91,1187.01,323.15,7.82,330.97,12.5,318.47,-168.97,149.5,60.04,89.46,0.0,89.46,96.06,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2023-03-31,1934.22,1934.22,0.0,178.85,54.12,241.59,1387.33,72.33,58.5,130.83,39.1,91.73,-421.35,-329.62,21.39,-351.01,0.0,-351.01,96.06,-3.65,-3.65,0.0,0.0,0.0,0.0,0.0
2023-06-30,1832.35,1832.35,0.0,222.45,54.42,0.0,1458.9,96.58,11.81,108.39,23.05,85.34,-105.15,-19.81,-5.66,-14.15,0.0,-14.15,96.06,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2023-09-30,2299.37,2299.37,0.0,223.11,55.79,0.0,1734.13,286.34,69.97,356.31,21.9,334.41,-119.75,214.66,59.42,155.24,0.0,155.24,96.06,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2023-12-31,1914.2,1914.2,0.0,204.04,56.21,0.0,1481.4,172.55,17.05,189.6,18.05,171.55,-60.34,111.21,34.9,76.31,0.0,76.31,96.06,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2024-03-31,2029.07,2029.07,0.0,229.85,56.25,218.43,1378.86,145.68,13.49,159.17,6.13,153.04,-27.63,125.41,41.23,84.18,0.0,84.18,96.06,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2024-06-30,2000.65,2000.65,0.0,196.73,55.33,262.43,1296.9,189.26,15.28,204.54,5.05,199.49,-36.1,163.39,50.87,112.52,0.0,112.52,96.06,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2024-09-30,1871.0,1871.0,1046.0,192.1,55.5,0.0,319.4,258.0,120.2,378.2,6.5,371.7,10.9,382.6,75.3,307.3,0.0,307.3,96.1,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2024-12-31,1836.5,1836.5,0.0,205.5,52.6,0.0,1354.9,223.5,25.7,249.2,10.7,238.5,-80.9,157.6,31.6,126.0,0.0,126.0,96.1,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2025-03-31,2004.2,2004.2,0.0,193.7,50.8,272.2,1308.4,179.1,30.6,209.7,7.3,202.4,0.0,202.4,46.9,155.5,0.0,155.5,96.1,1.62,1.62,0.0,0.0,0.0,0.0,0.0
