Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,423.44,423.44,0.0,21.68,0.5,242.57,11.22,64.5,82.97,20.52,103.5,1.44,102.06,102.06,26.64,75.42,75.42,62.28,0.0,12.11,12.11,0.0,0.0,0.0,0.0,0.0
2020-03-31,438.89,438.89,0.0,21.44,-0.87,253.79,10.79,55.93,97.81,13.39,111.2,1.44,109.76,109.76,27.68,82.08,82.08,62.28,0.0,13.18,13.18,0.0,0.0,0.0,0.0,0.0
2020-06-30,400.49,400.49,0.0,14.41,0.91,250.96,10.82,41.5,81.89,13.45,95.34,1.39,93.95,93.95,25.08,68.87,68.87,62.28,0.0,11.06,11.06,0.0,0.0,0.0,0.0,0.0
2020-09-30,430.18,430.18,0.0,18.26,0.8,245.89,11.21,47.18,106.85,4.41,111.25,1.3,109.95,109.95,31.07,78.88,78.88,62.28,0.0,12.67,12.67,0.0,0.0,0.0,0.0,0.0
2020-12-31,477.1,477.1,0.0,21.83,0.0,262.84,11.05,48.82,132.56,15.09,147.64,1.35,146.29,146.29,41.09,105.2,105.2,62.28,0.0,16.89,16.89,0.0,0.0,0.0,0.0,0.0
2021-03-31,518.4,518.4,0.0,30.89,-0.06,264.84,11.3,54.68,156.74,6.82,163.57,1.9,161.67,161.67,46.5,115.17,115.17,62.28,0.0,18.49,18.49,0.0,0.0,0.0,0.0,0.0
2021-06-30,558.32,558.32,0.0,39.66,0.06,302.89,11.92,65.72,138.07,17.5,155.57,1.64,153.93,153.93,40.56,113.38,113.38,62.28,0.0,18.21,18.21,0.0,0.0,0.0,0.0,0.0
2021-09-30,595.33,595.33,30.31,0.0,0.0,310.95,13.5,70.43,170.14,2.43,172.57,1.59,170.99,170.99,45.65,125.33,125.33,62.28,0.0,20.13,20.13,0.0,0.0,0.0,0.0,0.0
2021-12-31,635.41,635.41,22.29,0.0,0.0,329.51,14.04,72.78,196.8,6.51,203.31,3.01,200.31,200.31,49.36,150.95,150.95,62.28,0.0,24.24,24.24,0.0,0.0,0.0,0.0,0.0
2022-03-31,681.74,681.74,34.45,0.0,-0.57,344.77,15.88,81.85,205.36,18.09,223.45,3.19,220.26,220.26,60.25,160.01,160.01,62.28,0.0,25.69,25.69,0.0,0.0,0.0,0.0,0.0
2022-06-30,725.89,725.89,39.19,0.0,0.56,365.68,17.09,82.31,221.06,10.32,231.38,3.36,228.02,228.02,43.3,184.72,184.72,62.28,0.0,29.66,29.66,0.0,0.0,0.0,0.0,0.0
2022-09-30,763.17,763.17,41.6,0.0,-0.03,392.17,21.79,102.89,204.75,18.67,223.42,4.26,219.17,219.17,44.89,174.28,174.28,62.28,0.0,27.98,27.98,0.0,0.0,0.0,0.0,0.0
2022-12-31,817.74,817.74,50.26,0.0,-1.1,410.71,21.43,111.02,225.43,19.13,244.56,4.47,240.1,240.1,45.42,194.68,194.68,62.28,0.0,31.26,31.26,0.0,0.0,0.0,0.0,0.0
2023-03-31,837.92,837.92,55.07,0.0,0.76,429.22,21.08,103.15,228.65,25.69,254.33,4.12,250.22,250.22,48.7,201.52,201.52,62.28,0.0,32.36,32.36,0.0,0.0,0.0,0.0,0.0
2023-06-30,850.27,850.27,58.0,0.0,0.18,442.43,21.41,98.2,230.05,22.21,252.26,3.92,248.34,248.34,59.49,188.85,188.85,62.28,0.0,30.32,30.32,0.0,0.0,0.0,0.0,0.0
2023-09-30,881.7,881.7,49.86,0.0,-0.21,477.33,25.01,90.96,238.75,31.13,269.88,5.81,264.07,264.07,63.84,200.23,200.23,62.28,0.0,32.15,32.15,0.0,0.0,0.0,0.0,0.0
2023-12-31,914.23,914.23,44.32,0.0,0.21,495.77,25.45,103.78,244.7,34.93,279.63,5.55,274.07,274.07,67.64,206.43,206.43,62.28,0.0,33.15,33.14,0.0,0.0,0.0,0.0,0.0
2024-03-31,905.94,905.94,41.88,0.0,-1.11,496.35,27.58,107.54,233.7,33.68,267.38,4.97,262.41,262.41,65.47,196.93,196.93,62.28,0.0,31.62,31.61,0.0,0.0,0.0,0.0,0.0
2024-06-30,926.46,926.46,49.3,0.0,1.11,498.52,27.06,125.26,225.21,32.08,257.29,4.89,252.4,252.4,68.32,184.08,184.08,62.28,0.0,29.56,29.55,0.0,0.0,0.0,0.0,0.0
2024-09-30,955.09,955.09,59.19,0.0,0.0,515.07,27.15,114.42,239.25,64.3,303.56,4.85,298.71,298.71,69.28,229.43,229.43,62.28,0.0,36.84,36.83,0.0,0.0,0.0,0.0,0.0
2024-12-31,939.17,939.17,56.02,0.0,0.0,515.25,25.97,121.29,220.65,39.85,260.5,4.65,255.85,255.85,56.84,199.01,199.01,62.28,0.0,31.95,31.94,0.0,0.0,0.0,0.0,0.0
2025-03-31,908.34,908.34,74.15,0.0,0.0,517.58,24.69,108.94,182.97,43.07,226.04,4.59,221.45,221.45,49.03,172.42,172.42,62.28,0.0,27.68,27.68,0.0,0.0,0.0,0.0,0.0
