Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-12-31,733.6,5.16,738.76,210.87,3.04,25.24,91.69,60.65,32.62,170.23,144.42,3.56,147.98,34.26,113.72,0.0,113.72,40.27,73.45,0.0,73.45,24.31,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2021-03-31,797.52,5.51,803.03,243.84,8.51,22.46,91.46,70.12,33.81,184.4,148.43,15.87,164.3,30.2,134.1,0.0,134.1,49.37,84.73,0.0,84.73,24.31,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2021-06-30,593.81,0.02,593.83,197.91,3.39,-39.13,91.81,65.37,36.2,154.11,84.17,2.36,86.53,31.75,54.78,0.0,54.78,17.34,37.44,0.0,37.44,24.31,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2021-09-30,781.22,0.0,781.22,228.86,4.41,-1.2,0.0,68.81,38.61,291.69,150.04,4.94,154.98,31.17,123.81,0.0,123.81,42.65,81.16,0.0,81.16,24.31,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2021-12-31,811.75,0.0,811.75,226.93,2.17,-21.45,0.0,69.35,41.97,318.17,174.61,4.89,179.5,27.74,151.76,0.0,151.76,51.7,100.06,0.0,100.06,24.31,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2022-03-31,923.1,2.5,925.6,262.64,7.12,24.44,125.73,65.57,38.39,195.31,206.4,9.15,215.55,26.91,188.64,0.0,188.64,59.68,128.96,0.0,128.96,24.31,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2022-06-30,903.96,0.0,903.96,299.55,4.73,-44.64,0.0,69.64,38.73,351.92,184.03,4.53,188.56,24.92,163.64,0.0,163.64,56.79,106.85,0.0,106.85,24.31,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2022-09-30,993.26,0.9,994.16,352.06,2.49,-27.93,157.68,72.66,38.34,218.09,180.77,6.4,187.17,25.24,161.93,0.0,161.93,56.16,105.77,0.0,105.77,24.31,4.35,4.35,0.0,0.0,0.0,0.0,0.0
2022-12-31,983.74,3.28,987.02,381.08,4.16,-43.36,157.13,73.32,38.04,221.41,155.24,4.54,159.78,26.04,133.74,0.0,133.74,48.08,85.66,0.0,85.66,24.31,3.52,3.52,0.0,0.0,0.0,0.0,0.0
2023-03-31,1029.74,3.65,1033.39,362.51,6.03,42.76,144.49,78.55,38.63,225.6,134.82,5.84,140.66,24.87,115.79,0.0,115.79,46.25,69.54,0.0,69.54,24.31,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2023-06-30,1044.96,7.6,1052.56,382.52,4.64,6.71,154.36,77.89,38.4,215.39,172.65,3.48,176.13,33.27,142.86,0.0,142.86,36.82,106.04,0.0,106.04,24.31,4.36,4.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,1080.87,0.17,1081.04,412.01,2.15,-5.86,162.54,79.84,40.46,244.63,145.27,4.34,149.61,33.28,116.33,0.0,116.33,31.14,85.19,0.0,85.19,24.31,3.5,3.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,994.64,4.27,998.91,388.29,5.36,-29.56,160.33,80.74,42.28,229.7,121.77,3.3,125.07,32.75,92.32,0.0,92.32,24.08,68.24,0.0,68.24,24.31,2.81,2.81,0.0,0.0,0.0,0.0,0.0
2024-03-31,1018.41,11.45,1029.86,351.05,3.02,26.67,153.67,77.62,43.59,244.41,129.83,3.77,133.6,31.31,102.29,0.0,102.29,26.23,76.06,0.0,76.06,24.31,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,1057.4,5.46,1062.86,367.39,3.16,42.09,154.32,84.29,42.29,240.65,128.67,4.74,133.41,30.67,102.74,0.0,102.74,26.28,76.46,0.0,76.46,24.31,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,1085.96,2.56,1088.52,407.98,5.92,-29.72,166.53,84.3,43.0,249.73,160.78,6.98,167.76,29.58,138.18,0.0,138.18,45.46,92.72,0.0,92.72,24.31,3.81,3.81,0.0,0.0,0.0,0.0,0.0
2024-12-31,1057.19,-2.97,1054.22,412.2,4.71,-27.88,163.54,87.28,43.43,248.16,122.78,15.02,137.8,30.37,107.43,56.29,163.72,35.18,128.54,0.0,128.54,24.31,5.29,5.29,0.0,0.0,0.0,0.0,0.0
2025-03-31,1079.45,26.56,1106.01,411.52,11.02,-22.13,163.32,95.69,43.78,257.81,145.0,9.47,154.47,31.68,122.79,0.0,122.79,31.41,91.38,0.0,91.38,24.31,3.76,3.76,0.0,0.0,0.0,0.0,0.0
