Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-09-30,271.94,0.0,271.94,131.4,12.66,84.81,43.07,52.78,95.85,1.78,94.07,0.0,94.07,15.24,78.83,0.0,78.83,7.28,10.83,10.81,0.0,0.0,0.0,0.0,0.0
2021-12-31,282.7,0.0,282.7,136.36,12.99,97.19,36.16,67.87,104.03,0.15,103.88,45.82,149.7,26.4,123.3,0.0,123.3,7.29,16.93,16.9,0.0,0.0,0.0,0.0,0.0
2022-03-31,287.54,0.0,287.54,136.97,12.96,87.53,50.08,60.26,110.34,1.21,109.13,0.0,109.13,21.8,87.33,0.0,87.33,7.3,11.98,11.96,0.0,0.0,0.0,0.0,0.0
2022-06-30,329.58,0.0,329.58,162.61,12.82,114.98,39.17,70.37,109.54,1.08,108.46,0.0,108.46,15.76,92.7,0.0,92.7,7.3,12.7,12.69,0.0,0.0,0.0,0.0,0.0
2022-09-30,360.61,0.0,360.61,190.16,17.22,121.1,32.13,59.82,91.95,1.39,90.56,0.0,90.56,13.73,76.83,0.0,76.83,7.3,10.52,10.51,0.0,0.0,0.0,0.0,0.0
2022-12-31,389.23,0.0,389.23,181.42,17.17,139.77,50.87,78.45,129.32,1.2,128.12,0.0,128.12,18.32,109.8,0.0,109.8,7.31,15.03,15.02,0.0,0.0,0.0,0.0,0.0
2023-03-31,375.13,0.0,375.13,178.79,16.64,115.47,64.23,68.81,133.04,1.03,132.01,0.0,132.01,22.3,109.71,0.0,109.71,7.31,15.01,15.01,0.0,0.0,0.0,0.0,0.0
2023-06-30,407.07,0.0,407.07,203.5,16.5,131.57,55.5,158.61,214.11,0.87,213.24,0.0,213.24,20.34,192.9,0.0,192.9,7.31,26.39,26.38,0.0,0.0,0.0,0.0,0.0
2023-09-30,408.31,0.0,408.31,197.14,16.64,106.87,87.66,77.61,165.27,0.79,164.48,0.0,164.48,29.89,134.59,0.0,134.59,7.31,18.41,18.41,0.0,0.0,0.0,0.0,0.0
2023-12-31,437.85,0.0,437.85,222.97,17.14,133.9,63.84,190.4,254.24,0.59,253.65,0.0,253.65,22.59,231.06,0.0,231.06,7.31,31.6,31.6,0.0,0.0,0.0,0.0,0.0
2024-03-31,396.44,0.0,396.44,198.3,9.64,123.4,65.1,39.44,104.54,0.46,104.08,0.0,104.08,23.8,80.28,0.0,80.28,7.31,10.98,10.98,0.0,0.0,0.0,0.0,0.0
2024-06-30,422.1,0.0,422.1,221.75,9.62,138.08,52.65,96.53,149.18,0.42,148.76,0.0,148.76,20.39,128.37,0.0,128.37,7.31,17.56,17.55,0.0,0.0,0.0,0.0,0.0
2024-09-30,405.74,0.0,405.74,214.46,9.5,132.05,49.73,175.59,225.32,0.39,224.93,0.0,224.93,23.91,201.02,0.0,201.02,7.31,27.49,27.49,0.0,0.0,0.0,0.0,0.0
2024-12-31,440.61,0.0,440.61,242.21,14.51,143.53,40.36,189.13,229.49,1.84,227.65,0.0,227.65,21.44,206.21,0.0,206.21,7.31,28.2,28.2,0.0,0.0,0.0,0.0,0.0
2025-03-31,400.56,0.0,400.56,205.85,19.26,133.65,41.8,114.46,156.26,4.89,151.37,0.0,151.37,21.25,130.12,0.0,130.12,7.31,17.79,17.79,0.0,0.0,0.0,0.0,0.0
