Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,94.85,0.0,94.85,98.23,0.0,-18.68,0.0,13.16,9.66,31.01,-38.54,32.78,-5.76,43.19,-48.95,0.0,-48.95,-17.4,-31.55,0.0,-31.55,221.92,-1.42,-1.42,0.0,0.0,0.0,0.0,0.0
2022-03-31,70.06,0.0,70.06,83.53,0.0,-21.51,0.0,12.1,9.47,208.76,-222.28,31.69,-190.59,52.7,-243.3,0.0,-243.3,-86.34,-156.95,0.0,-156.95,221.92,-7.07,-7.07,0.0,0.0,0.0,0.0,0.0
2022-06-30,172.77,0.0,172.77,152.94,0.0,20.94,0.0,13.49,9.09,28.63,-52.32,3.86,-48.46,52.31,-100.77,0.0,-100.77,0.0,-100.77,0.0,-100.77,277.28,-3.75,-3.75,0.0,0.0,0.0,0.0,0.0
2022-09-30,80.73,0.0,80.73,105.91,6.36,-41.88,0.0,13.06,9.48,33.64,-45.84,5.2,-40.64,59.71,-100.35,0.0,-100.35,0.0,-100.35,0.0,-100.35,277.28,-3.73,-3.73,0.0,0.0,0.0,0.0,0.0
2022-12-31,176.62,0.0,176.62,138.26,0.0,23.19,0.0,14.68,10.3,198.55,-208.36,240.65,32.29,58.33,-26.04,0.0,-26.04,0.0,-26.04,0.0,-26.04,277.28,-0.97,-0.97,0.0,0.0,0.0,0.0,0.0
2023-03-31,153.21,0.0,153.21,116.71,5.9,9.46,0.0,15.02,11.56,48.27,-53.71,8.76,-44.95,43.09,-88.04,0.0,-88.04,0.0,-88.04,0.0,-88.04,325.95,-2.7,-2.7,0.0,0.0,0.0,0.0,0.0
2023-06-30,288.62,0.0,288.62,190.81,25.4,25.75,0.0,15.5,10.36,32.45,-11.65,2.86,-8.79,40.57,-49.36,-18.0,-67.36,0.0,-67.36,0.0,-67.36,325.95,-2.07,-2.07,0.0,0.0,0.0,0.0,0.0
2023-09-30,330.13,0.0,330.13,235.73,7.19,-25.34,0.0,15.82,10.52,85.25,0.96,4.04,5.0,40.99,-35.99,-18.0,-53.99,0.0,-53.99,0.0,-53.99,325.95,-1.66,-1.66,0.0,0.0,0.0,0.0,0.0
2023-12-31,494.75,0.0,494.75,283.78,42.64,8.8,0.0,17.55,10.47,91.82,39.69,3.9,43.59,35.52,8.07,-14.92,-6.85,0.0,-6.85,0.0,-6.85,325.95,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2024-03-31,470.27,0.0,470.27,335.57,8.78,-44.34,0.0,20.05,11.42,91.03,47.76,46.31,94.07,31.93,62.14,-164.31,-102.17,0.0,-102.17,0.0,-102.17,325.95,-3.13,-3.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,607.29,0.0,607.29,344.43,15.23,63.35,0.0,19.82,11.8,66.01,86.65,21.4,108.05,37.86,70.19,0.0,70.19,0.0,70.19,0.0,70.19,1303.79,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2024-09-30,675.64,0.0,675.64,404.68,17.2,6.66,0.0,28.51,12.46,120.33,85.8,12.42,98.22,28.3,69.92,0.0,69.92,0.0,69.92,0.0,69.92,1303.79,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2024-12-31,927.51,0.0,927.51,556.34,81.62,-5.38,0.0,30.67,13.62,87.82,162.82,16.87,179.69,31.62,148.07,-13.46,134.61,75.37,59.24,0.0,59.24,1303.79,0.45,0.45,0.0,0.0,0.0,0.0,0.0
