Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,49.51,18.42,67.93,99.72,0.0,-20.22,59.94,137.24,160.9,-369.65,25.4,-344.25,366.73,-710.98,-334.72,-1045.7,0.0,-1045.7,-1045.7,1063.95,-1.97,-1.97,0.0,0.0,0.0,0.0,0.0
2020-03-31,39.38,0.0,39.38,60.29,0.0,-4.07,71.36,130.67,103.1,-321.97,22.16,-299.81,328.79,-628.6,-245.44,-874.04,0.65,-874.69,-874.69,1063.95,-1.64,-1.64,0.0,0.0,0.0,0.0,0.0
2020-06-30,35.3,0.0,35.3,7.55,0.0,7.36,47.12,53.52,63.57,-143.82,38.15,-105.67,385.23,-490.9,-14.87,-505.77,0.0,-505.77,-505.77,1542.71,-0.93,-0.93,0.0,0.0,0.0,0.0,0.0
2020-09-30,198.38,16.76,215.14,66.62,0.0,60.43,42.5,51.48,78.04,-83.93,17.87,-66.06,197.22,-263.28,821.74,558.46,0.0,558.46,558.46,1645.1,0.69,0.58,0.0,0.0,0.0,0.0,0.0
2020-12-31,422.26,22.06,444.32,233.7,0.0,60.61,43.88,39.03,113.89,-46.79,15.33,-31.46,197.76,-229.22,0.0,-229.22,0.0,-229.22,-229.22,1672.93,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,535.51,0.0,535.51,377.64,0.0,-65.39,49.47,42.47,160.49,-29.17,15.44,-13.73,202.86,-216.59,-5.28,-221.87,0.0,-221.87,-221.87,1701.6,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2021-06-30,589.96,0.0,589.96,308.08,0.0,87.9,44.47,42.97,135.55,-29.01,29.54,0.53,186.68,-186.15,0.0,-186.15,0.0,-186.15,-186.15,1768.85,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2021-09-30,751.14,0.0,751.14,639.49,0.0,-72.52,67.9,46.81,147.26,-77.8,35.33,-42.47,194.47,-236.94,0.0,-236.94,0.0,-236.94,-236.94,1780.36,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2021-12-31,1001.18,0.0,1001.18,885.88,0.0,-142.48,56.63,47.62,149.08,4.45,15.06,19.51,201.79,-182.28,0.0,-182.28,0.0,-182.28,-182.28,1821.16,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0
2022-03-31,1666.04,0.0,1666.04,1250.88,0.0,136.77,56.62,47.73,219.13,-45.09,14.81,-30.28,194.14,-224.42,-82.87,-307.29,0.0,-307.29,-307.29,1843.49,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2022-06-30,802.61,0.0,802.61,850.26,0.0,-229.31,60.19,42.04,133.86,-54.43,16.59,-37.84,160.46,-198.3,2504.17,2305.87,0.0,2305.87,2305.87,1957.77,2.44,2.35,0.0,0.0,0.0,0.0,0.0
2022-09-30,852.69,0.0,852.69,524.23,0.0,102.91,62.46,45.89,125.14,-7.94,96.5,88.56,104.75,-16.19,20.59,4.4,0.0,4.4,4.4,2014.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,910.77,0.0,910.77,513.86,0.0,182.75,62.79,40.12,154.64,-43.39,47.35,3.96,92.2,-88.24,0.0,-88.24,0.0,-88.24,-88.24,2254.62,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2023-03-31,997.8,13.2,1011.0,774.62,0.0,21.18,67.07,61.99,123.73,-37.59,45.15,7.56,84.15,-76.59,17.32,-59.27,0.0,-59.27,-59.27,2454.4,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0
2023-06-30,747.17,12.96,760.13,464.7,0.0,78.48,66.43,37.48,102.74,10.3,52.88,63.18,75.92,-12.74,12.87,0.13,0.0,0.13,0.13,2488.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,749.99,13.88,763.87,604.5,0.0,-66.23,80.2,33.76,113.56,-1.92,47.67,45.75,57.59,-11.84,6.48,-5.36,0.0,-5.36,-5.36,2718.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,907.64,0.0,907.64,655.49,0.0,12.51,78.7,20.11,135.17,5.66,47.44,53.1,28.93,24.17,0.0,24.17,0.0,24.17,24.17,2719.12,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2024-03-31,1411.74,16.87,1428.61,1128.44,0.0,-70.05,87.03,28.22,167.93,87.04,44.89,131.93,63.23,68.7,5.79,74.49,0.0,74.49,74.49,2721.72,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2024-06-30,1480.02,0.0,1480.02,1136.19,0.0,-64.47,95.7,29.83,150.21,132.56,52.77,185.33,65.29,120.04,1.1,121.14,0.0,121.14,121.14,2727.15,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2024-09-30,1412.14,0.0,1412.14,1319.49,0.0,-294.17,118.67,35.11,205.9,27.14,47.91,75.05,71.44,3.61,80.11,83.72,0.0,83.72,83.72,2731.09,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2024-12-31,2291.85,0.0,2291.85,1530.91,0.0,130.55,125.85,38.28,226.27,239.99,40.46,280.45,79.84,200.61,0.0,200.61,0.0,200.61,200.61,2731.6,0.15,0.15,0.0,0.0,0.0,0.0,0.0
