Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,22187.6,1058.4,23246.0,10042.5,7078.3,382.3,969.9,640.0,3214.0,919.0,328.0,1247.0,25.2,1221.8,1221.8,210.5,1011.3,1011.3,151.0,0.0,33.48,33.48,0.0,0.0,0.0,0.0,0.0
2022-03-31,25514.0,1226.0,26740.0,11937.2,7871.0,-141.5,1025.8,647.2,3620.7,1779.6,474.4,2254.0,56.0,2198.0,2198.0,359.1,1838.9,1838.9,151.0,0.0,60.87,60.87,0.0,0.0,0.0,0.0,0.0
2022-06-30,25286.3,1213.5,26499.8,12237.7,7561.5,-29.0,1158.4,651.4,3659.1,1260.7,88.5,1349.2,27.4,1321.8,1321.8,309.0,1012.8,1012.8,151.0,0.0,33.53,33.53,0.0,0.0,0.0,0.0,0.0
2022-09-30,28543.5,1387.3,29930.8,13238.1,8796.4,-154.4,1132.7,722.6,4149.1,2046.3,612.5,2658.8,30.5,2628.3,2628.3,566.8,2061.5,2061.5,151.0,0.0,68.24,68.24,0.0,0.0,0.0,0.0,0.0
2022-12-31,27849.2,1195.1,29044.3,10212.5,11078.3,-185.0,1201.0,710.1,3904.4,2123.0,860.8,2983.8,29.6,2954.2,2954.2,602.9,2351.3,2351.3,151.0,0.0,77.84,77.84,0.0,0.0,0.0,0.0,0.0
2023-03-31,30821.8,1226.2,32048.0,10981.7,12541.0,-35.3,1113.0,739.2,4097.3,2611.1,742.8,3353.9,99.1,3254.8,3254.8,631.2,2623.6,2623.6,151.0,0.0,86.85,86.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,30845.2,1481.7,32326.9,10483.1,13148.2,-99.6,1460.9,747.5,4351.3,2235.5,1001.2,3236.7,46.5,3190.2,3190.2,705.1,2485.1,2485.1,151.0,0.0,82.27,82.27,0.0,0.0,0.0,0.0,0.0
2023-09-30,35535.1,1527.0,37062.1,12257.1,14727.0,-815.1,1312.7,794.1,4796.2,3990.1,843.6,4833.7,35.1,4798.6,4798.6,1082.1,3716.5,3716.5,151.0,0.0,123.03,123.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,31860.0,1448.7,33308.7,11095.0,12524.8,-2.2,1338.6,751.7,4444.6,3156.2,933.0,4089.2,35.4,4053.8,4053.8,923.8,3130.0,3130.0,157.2,0.0,101.9,101.9,0.0,0.0,0.0,0.0,0.0
2024-03-31,36697.5,1537.4,38234.9,12104.5,14709.9,474.0,1366.2,729.0,4895.3,3956.0,1118.0,5074.0,76.2,4997.8,4997.8,1120.0,3877.8,3877.8,157.2,0.0,123.34,123.34,0.0,0.0,0.0,0.0,0.0
2024-06-30,33875.3,1656.1,35531.4,12124.0,13704.1,-895.2,1557.6,731.0,4538.6,3771.3,975.1,4746.4,57.3,4689.1,4689.1,1039.2,3649.9,3649.9,157.2,0.0,116.09,116.09,0.0,0.0,0.0,0.0,0.0
2024-09-30,37202.8,0.0,37202.8,13341.1,13372.5,32.3,1468.8,750.9,4571.5,3665.7,1475.0,5140.7,40.2,5100.5,5100.5,2031.3,3069.2,3069.2,157.2,0.0,97.62,97.62,0.0,0.0,0.0,0.0,0.0
2024-12-31,36802.0,1690.1,38492.1,12991.1,13885.6,680.0,1541.5,805.0,4923.6,3665.3,985.0,4650.3,48.4,4601.9,4601.9,1076.9,3525.0,3525.0,157.2,0.0,112.12,112.12,0.0,0.0,0.0,0.0,0.0
2025-03-31,38848.8,1825.0,40673.8,14470.9,15471.8,-707.4,1569.1,872.4,5604.7,3392.3,1446.6,4838.9,47.2,4791.7,4791.7,1080.6,3711.1,3711.1,157.2,0.0,118.04,118.04,0.0,0.0,0.0,0.0,0.0
