Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-06-30,247.15,0.0,247.15,0.0,63.06,-1.63,42.13,28.43,111.67,3.49,31.69,35.18,27.91,7.27,-12.33,-5.06,2.57,-7.63,-7.63,754.96,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
2022-09-30,266.06,0.0,266.06,0.0,67.43,-0.19,44.84,28.69,116.36,8.93,54.84,63.77,28.1,35.67,51.21,86.88,4.47,82.41,82.41,754.96,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2022-12-31,262.25,0.0,262.25,0.0,65.05,-0.51,45.13,29.33,116.52,6.73,32.92,39.65,25.48,14.17,9.41,23.58,4.19,19.39,19.39,754.96,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2023-03-31,277.47,0.0,277.47,0.0,70.86,1.21,43.35,29.43,134.51,-1.89,30.12,28.23,24.75,3.48,0.0,3.48,1.41,2.07,2.07,754.96,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,289.07,0.0,289.07,0.0,74.39,0.83,50.12,24.8,128.57,10.36,30.6,40.96,23.3,17.66,0.0,17.66,4.78,12.88,12.88,754.96,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2023-09-30,294.12,0.0,294.12,0.0,76.42,0.29,46.2,25.08,131.6,14.53,48.23,62.76,20.81,41.95,61.55,103.5,8.2,95.3,95.3,754.96,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2023-12-31,290.75,0.0,290.75,0.0,80.9,-1.76,45.65,25.25,117.22,23.49,31.67,55.16,19.37,35.79,0.0,35.79,12.85,22.94,22.94,754.96,0.3,0.3,0.0,0.0,0.0,0.0,0.0
2024-03-31,307.48,0.0,307.48,0.0,77.36,2.62,46.01,25.85,112.19,43.45,32.5,75.95,18.44,57.51,32.1,89.61,21.28,68.33,68.33,754.96,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2024-06-30,333.4,0.0,333.4,0.0,92.07,0.34,49.18,26.03,133.87,31.91,35.43,67.34,16.84,50.5,0.0,50.5,23.67,26.83,26.83,754.96,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2024-09-30,357.15,0.0,357.15,0.0,96.92,-2.43,51.38,27.41,151.43,32.44,104.17,136.61,16.32,120.29,-68.28,52.01,12.38,39.63,39.63,754.96,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,366.87,0.0,366.87,0.0,95.97,-1.1,51.52,28.96,153.72,37.8,33.96,71.76,26.51,45.25,5.56,50.81,11.25,39.56,39.56,754.96,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2025-03-31,388.47,0.0,388.47,0.0,98.93,-0.6,55.05,30.52,164.13,40.44,24.99,65.43,51.91,13.52,-52.42,-38.9,3.33,-42.23,-42.23,754.96,-0.56,-0.56,0.0,0.0,0.0,0.0,0.0
