Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,320.5,0.0,320.5,135.7,10.44,49.77,29.11,95.48,20.4,115.89,1.63,114.26,-3.01,111.24,23.2,88.04,0.0,88.04,122.52,7.21,7.16,0.0,0.0,0.0,0.0,0.0
2020-03-31,322.82,0.0,322.82,139.2,10.99,48.4,38.69,85.54,19.47,105.01,1.59,103.42,-37.2,66.22,24.6,41.62,0.0,41.62,122.52,3.4,3.38,0.0,0.0,0.0,0.0,0.0
2020-06-30,280.14,0.0,280.14,129.74,11.13,25.58,20.27,93.43,20.27,113.7,1.53,112.17,0.0,112.17,28.95,83.22,0.0,83.22,122.52,6.81,6.76,0.0,0.0,0.0,0.0,0.0
2020-09-30,256.12,0.0,256.12,136.26,11.0,50.17,18.12,40.56,26.3,66.85,1.46,65.4,0.0,65.4,14.24,51.15,0.0,51.15,128.58,4.06,4.03,0.0,0.0,0.0,0.0,0.0
2020-12-31,272.3,0.0,272.3,131.46,10.94,50.27,22.38,57.24,31.58,88.82,1.37,87.45,0.0,87.45,17.58,69.87,0.0,69.87,128.58,5.44,5.4,0.0,0.0,0.0,0.0,0.0
2021-03-31,290.04,0.0,290.04,151.53,10.57,55.7,29.62,42.63,40.62,83.26,1.34,81.91,-3.22,78.69,12.0,66.69,0.0,66.69,128.78,5.2,5.16,0.0,0.0,0.0,0.0,0.0
2021-06-30,319.72,0.0,319.72,151.83,10.32,45.86,22.34,89.37,40.96,130.33,1.31,129.02,0.0,129.02,28.06,100.96,0.0,100.96,128.78,7.85,7.8,0.0,0.0,0.0,0.0,0.0
2021-09-30,351.68,0.0,351.68,160.49,9.92,61.71,23.18,96.39,44.04,140.43,1.22,139.21,9293.79,9433.0,1077.28,8355.72,0.0,8355.72,128.78,649.52,643.59,0.0,0.0,0.0,0.0,0.0
2021-12-31,403.26,0.0,403.26,183.91,9.71,80.5,26.77,102.37,42.56,144.94,1.09,143.85,217.83,361.67,32.57,329.1,0.0,329.1,128.78,25.58,25.41,0.0,0.0,0.0,0.0,0.0
2022-03-31,455.51,0.0,455.51,203.85,9.67,96.69,26.97,118.33,42.1,160.43,0.97,159.46,0.0,159.46,38.76,120.7,0.0,120.7,128.78,9.38,9.32,0.0,0.0,0.0,0.0,0.0
2022-06-30,507.66,0.0,507.66,224.41,9.89,87.55,32.57,153.24,41.87,195.11,0.96,194.15,0.0,194.15,45.73,148.43,0.0,148.43,128.98,11.54,11.48,0.0,0.0,0.0,0.0,0.0
2022-09-30,531.82,0.0,531.82,225.86,10.47,83.06,38.9,173.54,49.93,223.47,0.99,222.47,0.0,222.47,54.38,168.1,0.0,168.1,128.98,13.05,12.98,0.0,0.0,0.0,0.0,0.0
2022-12-31,555.18,0.0,555.18,226.2,11.47,74.62,37.56,205.34,39.6,244.94,0.92,244.02,-276.0,-31.98,52.28,-84.26,0.0,-84.26,129.18,-6.54,-6.54,0.0,0.0,0.0,0.0,0.0
2023-03-31,563.96,0.0,563.96,232.25,12.91,70.31,41.13,207.36,43.7,251.05,1.02,250.04,-18.75,231.29,52.36,178.93,0.0,178.93,129.18,13.87,13.82,0.0,0.0,0.0,0.0,0.0
2023-06-30,584.29,0.0,584.29,246.42,15.34,68.0,43.24,211.3,57.8,269.1,2.4,266.69,0.0,266.69,66.79,199.9,0.0,199.9,129.18,15.49,15.44,0.0,0.0,0.0,0.0,0.0
2023-09-30,593.02,0.0,593.02,243.46,17.58,0.0,108.47,223.51,63.56,287.07,4.65,282.42,-5.0,277.42,68.71,208.71,0.0,208.71,129.18,16.17,16.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,595.36,0.0,595.36,242.19,17.4,0.0,112.53,223.24,65.02,288.26,4.59,283.67,0.0,283.67,70.14,213.53,0.0,213.53,129.38,16.54,16.49,0.0,0.0,0.0,0.0,0.0
2024-03-31,608.29,0.0,608.29,250.03,17.42,0.0,111.39,229.47,72.81,302.28,4.67,297.61,-12.14,285.46,74.52,210.94,0.0,210.94,129.38,16.34,16.28,0.0,0.0,0.0,0.0,0.0
2024-06-30,638.9,0.0,638.9,258.67,17.5,0.0,130.78,231.95,76.97,308.92,4.62,304.3,0.0,304.3,72.01,232.29,0.0,232.29,129.38,17.98,17.91,0.0,0.0,0.0,0.0,0.0
2024-09-30,656.1,0.0,656.1,262.41,18.59,0.0,119.25,255.85,80.33,336.18,4.69,331.49,108.04,439.53,353.65,85.88,0.0,85.88,129.58,6.65,6.62,0.0,0.0,0.0,0.0,0.0
2024-12-31,671.52,0.0,671.52,268.08,21.69,0.0,113.72,268.02,78.11,346.13,4.66,341.47,-59.28,282.19,81.99,200.19,0.0,200.19,129.58,15.47,15.4,0.0,0.0,0.0,0.0,0.0
