Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,1580.86,0.0,1580.86,730.47,51.57,8.91,146.7,52.94,0.0,469.64,120.63,6.04,126.67,3.69,122.98,0.0,122.98,32.42,90.56,90.56,26.44,0.0,3.42,3.42,0.0,0.0,0.0,0.0,0.0
2022-03-31,1706.86,0.0,1706.86,838.94,48.47,-11.51,125.13,53.18,0.0,445.5,207.15,12.98,220.13,2.5,217.63,0.0,217.63,54.67,162.96,162.96,26.44,0.0,6.17,6.17,0.0,0.0,0.0,0.0,0.0
2022-06-30,2436.65,0.0,2436.65,1332.07,35.27,-9.12,148.7,57.53,0.0,664.68,207.52,10.36,217.88,0.83,217.05,0.0,217.05,55.37,161.68,161.68,26.44,0.0,6.11,6.11,0.0,0.0,0.0,0.0,0.0
2022-09-30,1679.55,0.0,1679.55,904.17,15.78,-24.1,94.22,51.98,0.0,470.37,167.13,14.31,181.44,0.99,180.45,0.0,180.45,46.26,134.19,134.19,26.44,0.0,5.08,5.08,0.0,0.0,0.0,0.0,0.0
2022-12-31,1611.04,0.0,1611.04,888.06,31.48,17.41,102.37,50.16,0.0,495.07,26.49,12.97,39.46,1.6,37.86,-33.12,4.74,6.88,-2.14,-2.14,26.44,0.0,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2023-03-31,1764.47,0.0,1764.47,1108.91,9.94,-35.59,116.26,50.65,0.0,511.5,2.8,11.63,14.43,1.22,13.21,0.0,13.21,3.48,9.73,9.73,26.44,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2023-06-30,2273.18,0.0,2273.18,1298.72,33.75,18.59,146.99,51.32,0.0,552.35,171.46,10.32,181.78,1.66,180.12,0.0,180.12,44.04,136.08,136.08,26.44,0.0,5.15,5.15,0.0,0.0,0.0,0.0,0.0
2023-09-30,1888.02,0.0,1888.02,1047.01,25.71,-25.51,117.16,50.84,0.0,539.06,133.75,12.23,145.98,1.43,144.55,0.0,144.55,36.93,107.62,107.62,26.44,0.0,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2023-12-31,1822.66,0.0,1822.66,1009.59,33.16,-21.93,108.46,51.77,0.0,547.81,93.8,24.06,117.86,2.05,115.81,0.0,115.81,30.96,84.85,84.85,26.44,0.0,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2024-03-31,2131.53,0.0,2131.53,1220.54,25.63,-4.05,124.26,57.71,0.0,623.17,84.27,26.32,110.59,1.75,108.84,0.0,108.84,28.0,80.84,80.84,26.44,0.0,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2024-06-30,2472.95,0.0,2472.95,1359.83,36.58,12.3,130.25,57.66,0.0,649.25,227.08,7.25,234.33,1.59,232.74,0.0,232.74,59.46,173.28,173.28,26.44,0.0,6.55,6.55,0.0,0.0,0.0,0.0,0.0
2024-09-30,2114.68,0.0,2114.68,1191.11,53.86,-57.49,173.86,57.08,0.0,526.5,169.76,10.52,180.28,2.19,178.09,0.0,178.09,45.84,132.25,132.25,26.44,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,1998.36,0.0,1998.36,1134.2,33.23,-30.93,166.91,61.29,0.0,553.81,79.85,10.08,89.93,3.2,86.73,-25.76,60.97,22.71,38.26,38.26,26.44,0.0,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2025-03-31,2321.36,0.0,2321.36,1260.51,58.07,25.55,139.11,56.66,0.0,651.89,129.57,7.85,137.42,5.87,131.55,0.0,131.55,34.17,97.38,97.38,26.44,0.0,3.69,3.69,0.0,0.0,0.0,0.0,0.0
